Gene,Base,Vec,Bait1,Bait2,Enr1,Enr2,AdjEnr1,AdjEnr2,pBait1_Vec,pBait2_Vec,pBait1_Bait2,pBait2_Bait1,pBait1,pBait2
SEPT9,60.1159030313708,3.35084834569654,117040.88500768,11.3505252171781,15.0707590010995,1.74513371186956,11.8602987659712,-3.88065269606762,1,0.00118292007990269,0.999999999885452,1.14547671065387e-10,0.999999999885452,1.35500740209334e-13
TRPV3,13.5397863468053,1.11648077011341,9390.26284451961,2.27010504343562,12.9747949835544,0.992027601139741,10.0280739853799,-4.17561921679847,0.999999999995655,0.000979922225265078,0.99999998716864,1.28313599943168e-08,0.999999987164295,1.25737348388082e-11
C5AR1,28.158942847619,1.61425670722639,13769.5666430803,5.67526260858906,13.0143227912563,1.78246388626433,9.76236500215268,-3.82770978244435,0.999999999989931,0.00171887269747755,0.999999982296604,1.77033963591793e-08,0.999999982286535,3.04298846544167e-11
ZFYVE1,25.3424197210828,0.868998836913237,3840.84358766374,2.27010504343562,12.0290913383257,1.33605518452185,8.56322096058685,-4.25644911142014,0.999999994470935,0.000559772824299242,0.999999848783979,1.5121602097723e-07,0.999999843254915,8.46466191417176e-11
QKI,45.0825183353988,1.98266753631401,9056.74542222529,6.81031513030687,12.1214106876857,1.75490058161821,8.7923904177094,-3.91649511436712,0.999999997009257,0.000935694130926539,0.99999976577888,2.3422112036697e-07,0.999999762788137,2.19159327666412e-10
SLC6A20,9.28558969058152,0.495666884078502,1741.79797387087,1.13505252171781,11.6403106017179,1.11885860510737,8.47495727312475,-4.13135390018049,0.999999993894846,0.00118984771849905,0.999999634758669,3.65241331300463e-07,0.999999628653516,4.3458156474941e-10
RPN1,60.1525454815376,2.23225852254866,5637.00533282709,5.67526260858906,11.2702637915919,1.32687964684547,7.84712002078222,-4.26761886933863,0.999999963585384,0.000507675620159815,0.999999310136969,6.89863030670007e-07,0.999999273722378,3.50226641920725e-10
EVI2B,112.595823169207,5.95643882107993,11094.0924701862,25.5386817386508,10.8510006574294,2.09092404053652,7.44933608286308,-3.72560742047061,0.999999909722757,0.00132408282318883,0.999997619951862,2.38004813836091e-06,0.999997529674833,3.15138085836622e-09
SLC40A1,29.5350343974945,2.23014946951418,3559.10118564796,5.67526260858906,10.6081891018543,1.32821346906209,7.44836730934585,-4.01295695103283,0.99999960431878,0.000839268436406745,0.999996430178939,3.56982106051273e-06,0.999996034499132,2.99603813970839e-09
ASTN2,1555.09540761833,84.3568716445405,112271.111264519,398.403435122952,10.3773393194928,2.23897877488364,6.91029875607962,-3.57939404889066,0.999999366948548,0.00197640616532713,0.999987907996525,1.2092003475442e-05,0.999987274952728,2.38987102200208e-08
SETD1A,39.8800881070683,2.2315555048705,1696.92628962946,2.27010504343562,9.53873294058109,0.0241723736901224,6.33020792821872,-4.9027658390431,0.999992045342854,0.000231950664358255,0.999993147689781,6.85231021944826e-06,0.999985193087143,1.58939790778988e-09
BCKDK,45.4322598216065,2.10992359130489,2280.68964327011,5.67526260858906,10.0443057735369,1.40636159180826,6.68018426339284,-4.13472290826,0.999996433837041,0.000586178844280749,0.999987718840364,1.22811596364807e-05,0.999984152721201,7.19895596213962e-09
GBA2,20.4504871366587,0.621516903713065,739.088414476296,2.27010504343562,10.1042051238239,1.78869450390811,6.4510253795331,-4.08143920626835,0.999990495698848,0.000756660734610236,0.999983328916297,1.66710837030568e-05,0.999973824773592,1.26143544415037e-08
RWDD1,24.96341985418,0.745257870313151,63325.1643856894,628.819097031667,16.2809977860393,9.62712128263019,12.3701735180249,2.77924499389272,1,0.97984182568765,0.999953050653943,4.69493460564802e-05,0.999953050653943,4.60029329548228e-05
TOX,67.2662554306292,3.22429530838382,1881.15907012064,6.81031513030687,9.16626003363353,1.06709040427186,5.80344633136156,-4.31296969633989,0.999966489511665,0.000347021233686114,0.999977655079892,2.23449201083035e-05,0.999944145340346,7.75416174260115e-09
FEZ1,41.9092711339706,2.10640850291409,1838.87613689315,15.8907353040494,9.73601731428922,2.88601577009524,6.24435473389305,-3.15876083304952,0.999994824330253,0.00579946235849793,0.999946313553359,5.36864466412842e-05,0.999941138161475,3.11352526457635e-07
FBXO7,476.497999811379,26.6781246752251,16022.6429422018,89.1016229548482,9.22754230992705,1.73790244418206,5.80010557497508,-3.89012832439154,0.999970668767925,0.00116283975622686,0.999942762813374,5.72371866263984e-05,0.999913433260136,6.65576761437525e-08
